item_id,length_mm,width_mm,height_mm,weight_kg
ITEM_0130,214,432,386,38.94
ITEM_0131,753,504,430,43.87
ITEM_0132,660,725,508,14.19
ITEM_0133,890,342,350,14.22
ITEM_0134,774,614,427,7.02
ITEM_0135,440,712,384,45.5
ITEM_0136,763,572,643,41.51
ITEM_0137,295,765,153,31.1
ITEM_0138,684,458,591,51.43
ITEM_0139,606,670,178,49.31
ITEM_0140,430,211,258,37.19
ITEM_0141,854,529,224,52.75
ITEM_0142,370,557,295,16.32
ITEM_0143,740,607,277,11.16
ITEM_0144,235,572,191,19.84
ITEM_0145,724,207,505,8.14
ITEM_0146,359,321,190,34.21
ITEM_0147,898,547,183,56.51
ITEM_0148,442,289,166,7.16
ITEM_0149,285,515,302,11.72
ITEM_0150,777,377,527,29.87
ITEM_0151,881,739,491,56.36
ITEM_0152,756,240,176,22.39
ITEM_0153,773,701,436,32.9
ITEM_0154,845,344,317,7.29
ITEM_0155,227,400,417,13.16
ITEM_0156,819,660,604,59.26
ITEM_0157,755,757,550,58.08
ITEM_0158,539,746,625,5.27
ITEM_0159,530,452,279,57.35
ITEM_0160,839,589,512,40.15
ITEM_0161,705,793,441,52.74
ITEM_0162,547,455,520,30.01
ITEM_0163,672,649,178,33.36
ITEM_0164,430,209,298,31.89
ITEM_0165,389,441,445,41.68
ITEM_0166,424,450,160,12.68
ITEM_0167,584,204,661,6.65
ITEM_0168,576,318,262,21.94
ITEM_0169,482,573,336,43.76
ITEM_0170,832,264,376,16.1
ITEM_0171,827,345,459,42.04
ITEM_0172,458,423,247,58.35
ITEM_0173,558,438,204,10.16
ITEM_0174,655,376,555,41.99
ITEM_0175,610,481,218,29.41
ITEM_0176,848,262,461,52.75
ITEM_0177,517,416,438,14.74
ITEM_0178,876,660,697,43.09
ITEM_0179,424,304,297,51.1
ITEM_0180,433,298,616,56.95
ITEM_0181,883,710,393,42.58
ITEM_0182,863,584,640,32.34
ITEM_0183,573,604,656,38.98
ITEM_0184,871,717,514,52.79
ITEM_0185,807,675,631,36.38
ITEM_0186,671,636,350,6.67
ITEM_0187,432,222,303,56.2
ITEM_0188,891,764,599,42.92
ITEM_0189,312,657,650,42.21
ITEM_0190,696,282,222,16.86
ITEM_0191,641,344,445,41.24
ITEM_0192,763,284,166,26.66
ITEM_0193,467,277,366,40.82
ITEM_0194,709,656,210,10.86
ITEM_0195,585,200,191,41.18
ITEM_0196,586,250,174,59.97
ITEM_0197,312,645,188,7.65
ITEM_0198,812,648,280,58.74
ITEM_0199,824,687,647,27.38
ITEM_0200,280,233,378,52.89
ITEM_0201,898,547,257,48.03
ITEM_0202,312,294,321,36.19
ITEM_0203,201,271,584,45.61
ITEM_0204,841,750,627,53.32
ITEM_0205,419,353,251,27.23
ITEM_0206,765,449,673,22.99
ITEM_0207,424,637,424,41.72
ITEM_0208,584,317,193,49.43
ITEM_0209,602,505,166,46.93
ITEM_0210,837,467,479,48.88
ITEM_0211,329,253,646,28.96
ITEM_0212,252,435,161,49.98
ITEM_0213,883,588,467,11.61
ITEM_0214,871,600,365,34.95
ITEM_0215,615,502,488,5.32
ITEM_0216,446,406,230,22.85
ITEM_0217,638,428,634,25.16
ITEM_0218,402,777,523,26.79
ITEM_0219,383,274,349,43.25
ITEM_0220,322,634,686,26.37
ITEM_0221,600,302,615,29.68
ITEM_0222,493,621,238,18.06
ITEM_0223,479,505,417,25.53
ITEM_0224,809,297,638,17.5
ITEM_0225,397,534,687,9.03
ITEM_0226,710,634,196,38.19
ITEM_0227,343,646,437,41.75
ITEM_0228,808,507,165,39.07
ITEM_0229,400,448,550,30.49
ITEM_0230,323,365,235,25.89
ITEM_0231,386,680,399,52.48
ITEM_0232,525,534,540,33.55
ITEM_0233,663,741,484,31.36
ITEM_0234,548,305,668,6.41
ITEM_0235,859,762,286,23.77
ITEM_0236,602,280,647,25.91
ITEM_0237,545,332,626,26.94
ITEM_0238,710,337,372,36.91
ITEM_0239,346,383,521,34.35
ITEM_0240,347,600,551,38.43
ITEM_0241,688,529,592,47.07
ITEM_0242,839,707,639,49.71
ITEM_0243,750,268,422,44.5
ITEM_0244,537,745,675,57.55
ITEM_0245,840,252,308,6.0
ITEM_0246,672,649,301,15.77
ITEM_0247,350,404,337,5.42
ITEM_0248,614,325,247,40.61
ITEM_0249,497,242,280,54.39
ITEM_0250,810,310,320,18.39
ITEM_0251,462,382,332,55.99
ITEM_0252,343,294,513,8.31
ITEM_0253,545,573,188,56.39
ITEM_0254,823,719,676,24.34
ITEM_0255,771,559,646,10.58
ITEM_0256,201,480,665,31.72
ITEM_0257,503,394,498,19.12
ITEM_0258,453,394,546,20.67
ITEM_0259,851,292,310,21.9
ITEM_0260,652,260,165,49.17
ITEM_0261,236,250,642,34.65
ITEM_0262,359,602,575,22.12
ITEM_0263,208,204,257,38.57
ITEM_0264,432,665,599,44.39
ITEM_0265,298,733,460,19.99
ITEM_0266,858,604,319,27.75
ITEM_0267,407,712,695,11.7
ITEM_0268,330,432,563,14.96
ITEM_0269,603,723,400,42.46
ITEM_0270,351,545,290,14.98
ITEM_0271,253,245,423,33.88
ITEM_0272,319,745,565,44.0
ITEM_0273,872,277,188,10.88
ITEM_0274,827,272,178,36.2
ITEM_0275,786,448,626,19.11
ITEM_0276,824,246,467,57.96
ITEM_0277,619,320,394,31.6
ITEM_0278,621,413,421,49.33
ITEM_0279,303,438,589,35.26
ITEM_0280,453,255,388,7.39
ITEM_0281,426,549,526,39.82
ITEM_0282,311,306,415,57.33
ITEM_0283,709,247,508,38.09
ITEM_0284,672,772,489,50.06
ITEM_0285,298,536,538,53.63
ITEM_0286,352,225,152,17.54
ITEM_0287,537,456,578,16.66
ITEM_0288,362,207,291,38.6
ITEM_0289,880,452,525,27.61
ITEM_0290,360,502,473,51.19
ITEM_0291,779,255,295,54.5
ITEM_0292,597,725,442,24.44
ITEM_0293,476,673,581,18.03
ITEM_0294,703,227,548,47.93
ITEM_0295,591,277,493,20.11
ITEM_0296,334,415,289,50.24
ITEM_0297,394,585,336,28.31
ITEM_0298,600,564,210,41.72
ITEM_0299,839,725,529,10.25
ITEM_0300,232,511,589,39.31
ITEM_0301,887,206,468,29.85
ITEM_0302,659,202,451,37.26
ITEM_0303,669,562,493,14.24
ITEM_0304,574,707,160,45.53
ITEM_0305,221,473,211,52.45
ITEM_0306,869,705,375,16.92
ITEM_0307,237,214,302,10.26
ITEM_0308,429,391,459,6.3
ITEM_0309,564,684,392,40.31
ITEM_0310,762,227,642,38.39
ITEM_0311,637,238,515,35.07
ITEM_0312,482,472,479,17.76
ITEM_0313,226,430,256,26.5
ITEM_0314,425,285,375,37.7
ITEM_0315,476,673,367,32.32
ITEM_0316,808,325,655,59.33
ITEM_0317,483,736,408,12.5
ITEM_0318,680,344,666,43.23
ITEM_0319,652,724,203,27.24
ITEM_0320,858,411,196,28.55
ITEM_0321,715,224,670,44.47
ITEM_0322,746,779,248,43.08
ITEM_0323,391,593,169,59.52
ITEM_0324,248,266,639,12.06
ITEM_0325,711,432,568,10.73
ITEM_0326,216,308,211,44.84
ITEM_0327,371,345,294,36.81
ITEM_0328,419,310,365,20.08
ITEM_0329,357,427,152,9.37
ITEM_0330,676,310,309,9.71
ITEM_0331,245,669,269,54.18
ITEM_0332,572,233,238,15.55
ITEM_0333,717,568,478,22.79
ITEM_0334,298,794,506,17.47
ITEM_0335,236,753,416,24.52
ITEM_0336,479,624,472,8.82
ITEM_0337,548,717,690,33.55
ITEM_0338,696,481,344,8.72
ITEM_0339,501,519,481,49.02
ITEM_0340,380,642,319,17.85
ITEM_0341,806,514,670,34.7
ITEM_0342,298,576,612,53.4
ITEM_0343,899,488,189,40.8
ITEM_0344,315,636,686,34.31
ITEM_0345,390,476,410,22.84
ITEM_0346,452,781,544,23.32
ITEM_0347,360,702,375,41.82
ITEM_0348,455,715,273,59.68
ITEM_0349,522,549,187,41.4
ITEM_0350,327,645,477,35.68
ITEM_0351,217,549,400,45.19
ITEM_0352,765,336,325,30.59
ITEM_0353,769,442,603,8.31
ITEM_0354,522,742,186,35.93
ITEM_0355,885,239,465,57.67
ITEM_0356,825,428,263,14.64
ITEM_0357,487,747,189,42.95
ITEM_0358,862,422,450,16.05
ITEM_0359,838,205,373,34.47
ITEM_0360,354,521,467,10.32
ITEM_0361,689,667,498,29.77
ITEM_0362,585,274,264,46.59
ITEM_0363,303,203,472,24.12
ITEM_0364,592,317,189,41.57
ITEM_0365,445,703,189,48.75
ITEM_0366,375,773,438,55.99
ITEM_0367,238,640,411,17.91
ITEM_0368,676,393,365,26.96
ITEM_0369,881,591,296,13.38
ITEM_0370,737,225,485,59.59
ITEM_0371,607,634,317,55.99
ITEM_0372,724,372,241,34.7
ITEM_0373,705,499,502,51.31
ITEM_0374,235,525,512,33.65
ITEM_0375,884,609,494,39.3
ITEM_0376,219,317,319,9.9
ITEM_0377,520,424,505,46.54
ITEM_0378,711,731,340,12.02
ITEM_0379,599,312,571,50.43
ITEM_0380,853,339,156,48.01
ITEM_0381,670,758,282,43.98
ITEM_0382,342,200,180,6.99
ITEM_0383,291,289,684,21.67
ITEM_0384,553,519,575,19.47
ITEM_0385,250,749,543,24.81
ITEM_0386,864,338,512,9.82
ITEM_0387,897,710,586,56.53
ITEM_0388,774,458,231,35.46
ITEM_0389,389,209,505,21.8
ITEM_0390,324,460,407,26.83
ITEM_0391,349,371,673,29.6
ITEM_0392,513,212,444,38.03
ITEM_0393,769,367,373,33.36
ITEM_0394,541,795,674,55.57
ITEM_0395,504,520,195,32.33
ITEM_0396,891,518,262,59.57
ITEM_0397,881,528,382,51.83
ITEM_0398,253,749,166,16.47
ITEM_0399,643,618,509,56.18
ITEM_0400,812,294,372,11.4
ITEM_0401,463,780,597,49.96
ITEM_0402,252,517,514,25.93
ITEM_0403,771,435,475,53.29
ITEM_0404,819,533,616,52.74
ITEM_0405,204,575,563,49.33
ITEM_0406,302,658,604,48.45
ITEM_0407,395,336,382,21.76
ITEM_0408,549,787,373,9.45
ITEM_0409,246,746,561,27.16
ITEM_0410,855,712,484,14.54
ITEM_0411,468,495,371,43.22
ITEM_0412,569,519,186,24.04
ITEM_0413,835,771,427,58.66
ITEM_0414,305,548,345,40.25
ITEM_0415,869,428,633,50.24
ITEM_0416,858,469,391,12.29
ITEM_0417,856,490,473,52.41
ITEM_0418,319,364,341,55.75
ITEM_0419,803,204,166,31.79
ITEM_0420,257,578,673,38.34
ITEM_0421,545,277,550,47.06
ITEM_0422,673,609,171,14.62
ITEM_0423,316,773,623,32.64
ITEM_0424,326,331,269,26.93
ITEM_0425,592,241,359,13.05
ITEM_0426,840,288,455,25.21
ITEM_0427,257,601,419,8.75
ITEM_0428,833,495,434,6.42
ITEM_0429,712,494,376,12.43
ITEM_0430,295,725,530,57.97
ITEM_0431,837,621,609,35.22
ITEM_0432,317,222,156,58.12
ITEM_0433,759,774,178,28.79
ITEM_0434,800,342,182,22.15
ITEM_0435,687,344,228,32.84
ITEM_0436,436,424,608,29.17
ITEM_0437,471,702,687,10.81
ITEM_0438,388,303,631,40.25
ITEM_0439,646,238,579,16.88
ITEM_0440,780,397,434,39.08
ITEM_0441,446,778,665,40.76
ITEM_0442,275,590,248,13.36
ITEM_0443,353,378,546,8.37
ITEM_0444,855,753,638,47.94
ITEM_0445,634,647,188,30.29
ITEM_0446,285,699,420,8.2
ITEM_0447,896,214,306,59.72
ITEM_0448,484,488,224,8.18
ITEM_0449,419,677,279,43.23
ITEM_0450,268,430,233,59.1
ITEM_0451,246,619,171,18.15
ITEM_0452,293,356,608,12.82
ITEM_0453,652,749,688,11.68
ITEM_0454,403,640,531,21.68
ITEM_0455,417,296,589,10.56
ITEM_0456,673,610,170,43.07
ITEM_0457,631,488,452,8.43
ITEM_0458,540,453,233,33.02
ITEM_0459,750,395,602,59.82
ITEM_0460,811,797,536,49.77
ITEM_0461,488,721,656,38.84
ITEM_0462,453,716,406,21.84
ITEM_0463,556,317,676,39.31
ITEM_0464,222,358,311,33.99
ITEM_0465,721,427,312,28.43
ITEM_0466,299,415,673,12.19
ITEM_0467,379,214,420,53.76
ITEM_0468,422,356,641,29.74
ITEM_0469,858,460,357,15.7
ITEM_0470,641,356,688,25.23
ITEM_0471,807,246,209,27.78
ITEM_0472,524,523,579,50.51
ITEM_0473,715,329,458,45.35
ITEM_0474,215,610,669,47.31
ITEM_0475,535,294,176,5.61
ITEM_0476,457,491,348,27.89
ITEM_0477,696,482,536,31.47
ITEM_0478,359,268,498,6.06
ITEM_0479,674,210,685,19.29
ITEM_0480,863,453,527,46.82
ITEM_0481,889,749,676,12.54
ITEM_0482,874,333,302,34.44
ITEM_0483,579,222,355,16.84
ITEM_0484,744,545,604,5.67
ITEM_0485,890,501,422,18.27
ITEM_0486,626,562,385,58.67
ITEM_0487,812,595,670,49.08
ITEM_0488,467,417,650,57.78
ITEM_0489,776,340,266,31.83
ITEM_0490,616,409,535,11.04
ITEM_0491,367,659,493,35.14
ITEM_0492,242,555,544,29.99
ITEM_0493,755,523,213,51.44
ITEM_0494,484,332,221,10.39
ITEM_0495,596,326,423,31.85
ITEM_0496,211,305,469,13.25
ITEM_0497,806,577,487,22.86
ITEM_0498,501,250,515,45.55
ITEM_0499,452,228,644,31.18
ITEM_0500,698,661,315,25.67
