id,L_m,W_m,H_m,weight_kg,fragile,stack_limit,can_rotate,drop_order,volume_m3
44,0.696,0.348,0.754,101.8,0,1,1,1,0.1827
45,0.767,0.416,0.333,43.7,0,3,1,5,0.1063
46,0.975,0.891,0.493,120.0,0,1,1,4,0.4284
47,0.73,0.89,0.453,120.0,0,1,0,2,0.2944
48,1.125,0.351,0.55,103.5,0,1,1,3,0.2173
49,0.544,0.803,0.356,64.7,0,2,1,1,0.1558
50,0.993,0.31,0.331,43.0,0,3,1,5,0.1019
51,0.738,0.388,0.791,100.2,0,1,0,5,0.2264
52,0.741,0.371,0.416,46.8,1,3,1,3,0.1145
53,0.908,0.491,0.525,116.2,0,1,1,1,0.2339
54,0.818,0.552,0.754,120.0,0,1,1,5,0.3408
55,0.732,0.892,0.416,111.3,0,1,0,5,0.2719
56,0.401,0.584,0.452,69.0,0,2,1,5,0.1057
57,0.474,0.381,0.56,47.8,0,3,1,3,0.1009
58,0.968,0.477,0.287,69.4,1,2,1,1,0.1327
59,0.819,0.304,0.263,45.6,1,3,0,3,0.0655
60,0.957,0.318,0.598,72.4,0,2,1,1,0.1821
61,1.164,0.58,0.454,120.0,0,1,1,2,0.3067
62,0.946,0.633,0.294,91.0,0,1,1,1,0.1759
63,0.443,0.462,0.408,41.2,1,3,1,1,0.0834
64,0.647,0.547,0.631,98.3,1,1,1,3,0.2235
65,0.874,0.367,0.668,90.8,1,1,1,1,0.2143
66,0.588,0.728,0.528,116.9,0,1,1,1,0.2261
67,1.172,0.555,0.371,113.0,0,1,1,4,0.2417
68,1.156,0.405,0.712,120.0,0,1,1,5,0.3332
69,1.079,0.623,0.364,117.6,0,1,1,4,0.2449
70,0.778,0.435,0.666,111.7,0,1,1,3,0.2257
71,1.073,0.49,0.334,77.4,0,2,1,3,0.1757
72,0.505,0.381,0.764,86.1,0,2,1,1,0.1469
73,0.647,0.807,0.675,120.0,0,1,1,3,0.3528
74,0.77,0.482,0.526,102.2,0,1,1,4,0.195
75,0.993,0.921,0.489,120.0,0,1,0,3,0.4473
76,0.789,0.564,0.565,110.7,1,1,1,3,0.2512
77,0.51,0.401,0.614,54.8,0,3,1,1,0.1253
78,0.675,0.758,0.557,120.0,0,1,1,1,0.285
79,0.66,0.777,0.633,120.0,0,1,1,3,0.3242
80,0.64,0.873,0.298,87.3,0,2,1,1,0.1667
81,0.532,0.385,0.479,41.8,0,3,1,1,0.0984
82,0.732,0.813,0.664,120.0,0,1,1,5,0.3956
83,0.758,0.859,0.491,120.0,0,1,1,2,0.3199
84,1.02,0.498,0.784,120.0,0,1,1,1,0.3981
85,1.037,0.595,0.544,120.0,0,1,1,2,0.3357
86,0.818,0.703,0.421,120.0,0,1,1,1,0.242
87,0.769,0.46,0.741,120.0,0,1,0,5,0.2616
88,1.023,0.866,0.482,120.0,0,1,1,4,0.4272
89,1.11,0.754,0.55,120.0,0,1,0,1,0.4609
90,0.94,0.857,0.603,120.0,0,1,0,2,0.4854
91,1.04,0.592,0.721,120.0,0,1,1,1,0.4443
92,1.151,0.637,0.365,106.6,0,1,0,2,0.268
93,0.433,0.426,0.731,64.8,0,2,0,4,0.1347
94,1.101,0.504,0.566,115.4,1,1,1,4,0.3138
95,0.621,0.774,0.452,105.3,0,1,1,1,0.2172
96,0.781,0.923,0.434,120.0,0,1,1,5,0.3131
97,1.037,0.399,0.79,120.0,0,1,1,5,0.3269
98,0.974,0.333,0.771,120.0,0,1,1,4,0.2499
99,0.518,0.344,0.55,73.1,0,2,1,2,0.0979
100,0.927,0.583,0.441,104.4,0,1,1,3,0.2381
101,0.455,0.815,0.786,118.0,0,1,1,1,0.2917
102,0.686,0.446,0.259,53.8,0,3,1,5,0.0792
103,1.05,0.61,0.277,81.3,0,2,1,1,0.1774
104,0.742,0.635,0.518,120.0,0,1,1,1,0.244
105,0.88,0.845,0.573,120.0,0,1,1,2,0.4257
106,0.983,0.407,0.254,44.9,0,3,1,4,0.1013
107,1.057,0.31,0.353,46.0,0,3,1,2,0.1155
108,1.008,0.629,0.297,77.0,0,2,1,3,0.1887
109,0.406,0.531,0.387,37.5,0,3,1,1,0.0834
110,0.736,0.49,0.351,81.1,0,2,1,1,0.1264
111,0.771,0.802,0.318,97.6,1,1,1,1,0.1967
112,0.444,0.744,0.321,62.5,0,2,1,5,0.1062
113,0.833,0.355,0.454,85.0,0,2,1,5,0.1342
114,0.886,0.656,0.321,91.9,1,1,1,5,0.1866
115,1.063,0.819,0.675,120.0,0,1,1,4,0.5876
116,1.153,0.891,0.472,120.0,0,1,1,5,0.4848
117,0.503,0.3,0.314,31.7,0,3,1,2,0.0474
118,0.584,0.825,0.608,120.0,0,1,1,1,0.2932
119,0.927,0.328,0.684,107.0,0,1,1,2,0.208
120,0.506,0.743,0.448,73.8,0,2,0,4,0.1684
121,0.579,0.689,0.253,56.3,1,3,0,5,0.1011
122,0.86,0.919,0.608,120.0,0,1,1,4,0.48
123,0.536,0.711,0.665,103.7,0,1,1,1,0.253
124,1.026,0.345,0.739,116.8,0,1,1,3,0.2619
125,1.086,0.736,0.642,120.0,0,1,0,5,0.513
126,0.427,0.466,0.578,79.4,0,2,1,3,0.115
127,0.826,0.841,0.439,120.0,0,1,1,1,0.3047
128,1.038,0.32,0.384,50.5,0,3,1,4,0.1277
129,1.18,0.511,0.286,74.9,0,2,1,4,0.1722
130,0.619,0.74,0.701,120.0,0,1,1,2,0.321
131,0.535,0.401,0.558,79.3,0,2,1,2,0.1199
132,1.101,0.72,0.408,120.0,0,1,1,2,0.3238
133,1.127,0.753,0.319,120.0,0,1,1,1,0.2705
134,0.558,0.777,0.409,97.8,0,1,1,4,0.1772
135,0.753,0.869,0.667,120.0,1,1,0,3,0.4364
136,0.975,0.569,0.369,108.2,0,1,1,5,0.2045
137,1.076,0.393,0.279,67.1,0,2,0,1,0.1177
138,0.535,0.469,0.459,74.9,0,2,1,4,0.1151
139,0.932,0.553,0.435,107.0,0,1,1,1,0.2242
140,1.046,0.335,0.633,106.6,0,1,1,1,0.2223
141,0.84,0.761,0.556,120.0,0,1,1,2,0.355
142,0.532,0.341,0.51,64.1,1,2,1,4,0.0925
143,0.428,0.338,0.787,59.1,0,3,1,5,0.1138
144,0.625,0.906,0.714,120.0,0,1,1,3,0.4047
145,1.046,0.824,0.32,120.0,0,1,1,4,0.2763
146,0.436,0.465,0.387,41.7,0,3,1,4,0.0783
147,0.407,0.522,0.481,53.9,0,3,1,2,0.102
148,0.689,0.837,0.289,68.5,1,2,1,5,0.1669
149,0.451,0.703,0.667,90.8,0,1,1,4,0.2113
150,0.52,0.472,0.672,83.2,0,2,1,3,0.165
151,0.419,0.592,0.411,47.4,0,3,1,1,0.1018
152,0.82,0.856,0.748,120.0,0,1,1,5,0.5249
153,0.957,0.3,0.554,82.1,0,2,1,5,0.1593
154,0.742,0.945,0.373,110.0,1,1,1,2,0.2614
155,0.508,0.668,0.592,101.7,1,1,0,4,0.2007
156,0.665,0.418,0.62,83.4,1,2,1,2,0.1725
157,0.872,0.82,0.645,120.0,0,1,1,4,0.4612
158,1.153,0.35,0.784,120.0,0,1,0,5,0.3159
159,1.194,0.567,0.753,120.0,0,1,1,5,0.509
160,0.593,0.673,0.477,87.5,0,2,1,5,0.1904
161,0.408,0.461,0.488,42.7,0,3,1,1,0.0917
162,1.065,0.875,0.263,120.0,0,1,1,5,0.245
163,1.141,0.753,0.48,120.0,0,1,1,2,0.4122
164,0.767,0.405,0.347,56.2,0,3,1,2,0.108
165,1.017,0.399,0.316,70.4,0,2,1,5,0.1283
166,1.093,0.34,0.699,120.0,0,1,1,2,0.2598
167,0.888,0.671,0.262,70.2,0,2,1,2,0.1562
168,1.098,0.422,0.321,61.0,1,2,1,4,0.1486
169,0.419,0.653,0.615,88.7,1,2,1,5,0.1684
170,0.617,0.833,0.562,120.0,0,1,1,5,0.2888
171,0.622,0.871,0.486,113.0,0,1,1,5,0.2633
172,0.497,0.376,0.694,85.2,1,2,1,1,0.1295
173,1.129,0.516,0.381,93.9,0,1,1,4,0.2218
174,0.424,0.571,0.364,66.7,0,2,1,5,0.0882
175,0.938,0.549,0.533,101.1,0,1,1,1,0.2744
176,0.457,0.572,0.309,57.0,0,3,1,1,0.0807
177,0.689,0.599,0.629,120.0,0,1,0,5,0.2594
178,0.734,0.792,0.764,120.0,0,1,1,2,0.4444
179,0.545,0.499,0.696,100.9,0,1,1,4,0.1892
180,0.817,0.523,0.735,120.0,0,1,1,3,0.314
181,0.828,0.554,0.29,62.8,1,2,1,1,0.133
182,0.654,0.398,0.483,50.5,0,3,1,3,0.1258
183,0.99,0.71,0.747,120.0,0,1,1,1,0.5244
184,0.528,0.56,0.713,91.9,0,1,0,1,0.2109
185,0.554,0.895,0.577,120.0,1,1,0,2,0.2861
186,0.684,0.834,0.61,120.0,0,1,1,4,0.3477
187,0.703,0.45,0.396,49.5,0,3,1,1,0.1252
188,0.565,0.458,0.396,44.2,0,3,1,2,0.1023
189,1.135,0.808,0.287,119.5,0,1,1,5,0.2631
190,1.062,0.664,0.746,120.0,0,1,1,1,0.5263
191,0.486,0.307,0.409,36.7,0,3,0,5,0.0609
192,0.696,0.709,0.796,120.0,0,1,1,2,0.3927
193,0.586,0.557,0.254,43.5,0,3,1,1,0.0828
194,0.761,0.81,0.69,120.0,0,1,1,5,0.4252
195,0.621,0.785,0.539,111.5,0,1,1,1,0.263
196,0.801,0.9,0.273,101.1,0,1,1,1,0.1969
197,1.138,0.755,0.615,120.0,0,1,0,4,0.5279
198,0.706,0.893,0.636,120.0,0,1,1,3,0.4014
199,0.92,0.485,0.635,120.0,0,1,1,4,0.2833
200,0.876,0.52,0.633,112.0,0,1,1,5,0.2885
201,1.002,0.338,0.623,101.3,1,1,1,2,0.2112
202,0.449,0.864,0.672,118.1,0,1,1,1,0.2608
203,0.996,0.4,0.459,81.3,1,2,1,2,0.183
204,1.157,0.658,0.777,120.0,0,1,1,1,0.5917
205,0.883,0.631,0.516,120.0,0,1,1,5,0.2872
206,0.63,0.829,0.397,94.3,0,1,0,1,0.2075
207,0.938,0.552,0.796,120.0,0,1,1,5,0.4123
208,0.97,0.393,0.404,62.8,0,2,1,5,0.1537
209,0.925,0.549,0.492,120.0,0,1,1,3,0.2501
210,0.518,0.331,0.634,77.5,0,2,0,1,0.1086
211,1.179,0.496,0.689,120.0,0,1,1,1,0.4028
212,1.164,0.71,0.424,120.0,0,1,1,5,0.3504
213,0.74,0.337,0.269,51.1,0,3,1,5,0.0672
214,0.875,0.943,0.568,120.0,0,1,1,3,0.4687
215,0.432,0.649,0.576,91.0,0,1,1,3,0.1611
216,1.191,0.495,0.651,120.0,1,1,1,4,0.384
217,1.055,0.842,0.394,120.0,0,1,1,1,0.3496
218,0.909,0.389,0.701,113.7,1,1,1,4,0.2483
219,1.009,0.509,0.676,120.0,0,1,1,3,0.3472
220,0.55,0.909,0.724,120.0,1,1,1,1,0.3623
221,0.646,0.456,0.666,98.5,0,1,1,5,0.1961
222,0.597,0.776,0.62,116.2,0,1,0,3,0.2875
223,0.877,0.353,0.555,73.7,0,2,1,1,0.1715
224,0.474,0.646,0.722,96.7,1,1,1,4,0.2208
225,1.116,0.728,0.374,120.0,0,1,1,1,0.3041
226,0.77,0.436,0.616,77.8,1,2,1,4,0.2068
227,0.756,0.513,0.686,120.0,0,1,0,3,0.2658
228,0.484,0.658,0.676,105.1,0,1,1,3,0.2152
229,0.948,0.683,0.321,85.7,1,2,1,5,0.2082
230,1.054,0.4,0.423,76.1,0,2,0,3,0.1782
231,0.904,0.567,0.763,120.0,0,1,1,5,0.3909
232,0.594,0.95,0.676,120.0,0,1,1,5,0.3812
233,1.028,0.51,0.335,100.1,1,1,1,1,0.1756
234,0.517,0.81,0.516,94.3,0,1,1,3,0.2159
235,1.062,0.431,0.696,120.0,0,1,1,1,0.3185
236,0.865,0.6,0.723,120.0,0,1,1,4,0.3748
237,0.631,0.637,0.536,88.8,1,2,1,2,0.2155
238,0.811,0.687,0.306,82.4,0,2,1,3,0.1704
239,0.903,0.766,0.371,100.1,0,1,1,5,0.2566
240,0.607,0.817,0.263,54.7,0,3,1,1,0.1307
241,1.078,0.755,0.341,120.0,1,1,1,5,0.2776
242,0.737,0.825,0.284,77.3,0,2,1,4,0.1724
243,1.114,0.876,0.635,120.0,0,1,1,3,0.6195
244,1.068,0.512,0.636,120.0,0,1,1,3,0.3476
245,0.479,0.838,0.494,84.9,0,2,1,3,0.1984
246,0.917,0.638,0.735,120.0,1,1,1,2,0.4297
247,0.648,0.469,0.33,60.4,0,2,1,5,0.1004
248,1.003,0.412,0.357,61.0,0,2,1,4,0.1476
249,0.834,0.797,0.586,120.0,0,1,0,5,0.3897
250,0.766,0.714,0.54,111.9,1,1,1,4,0.2955
251,1.116,0.346,0.317,50.2,1,3,1,3,0.1225
252,0.446,0.682,0.749,104.4,1,1,1,5,0.2276
253,0.846,0.329,0.592,66.6,0,2,0,3,0.1647
254,0.662,0.554,0.584,87.6,0,2,0,4,0.2145
255,0.428,0.671,0.455,53.3,0,3,1,4,0.1308
256,1.003,0.723,0.583,120.0,0,1,1,4,0.4228
257,0.849,0.403,0.289,55.3,0,3,1,3,0.0989
258,1.115,0.329,0.416,64.2,0,2,0,5,0.1526
259,0.879,0.674,0.598,120.0,0,1,1,5,0.3546
260,0.67,0.832,0.579,120.0,0,1,0,5,0.3228
261,1.188,0.818,0.539,120.0,0,1,1,3,0.524
262,0.493,0.534,0.279,35.4,0,3,1,4,0.0734
263,0.442,0.675,0.427,54.8,1,3,1,3,0.1274
264,0.986,0.767,0.791,120.0,1,1,1,3,0.5987
265,0.697,0.868,0.769,120.0,0,1,1,1,0.4647
266,0.689,0.62,0.701,120.0,0,1,1,1,0.2994
267,1.101,0.869,0.285,120.0,0,1,1,2,0.2728
268,0.662,0.507,0.29,66.6,0,2,1,2,0.0974
269,1.111,0.443,0.367,92.5,0,1,0,1,0.1804
270,0.915,0.491,0.705,120.0,1,1,1,3,0.317
271,0.663,0.774,0.362,88.7,0,2,1,4,0.186
272,0.448,0.875,0.374,62.1,0,2,0,2,0.1465
273,0.596,0.606,0.393,76.2,0,2,1,4,0.1421
274,1.175,0.752,0.653,120.0,0,1,1,5,0.5774
275,0.724,0.39,0.54,87.5,0,2,1,5,0.1527
276,0.528,0.63,0.723,97.7,0,1,1,3,0.2405
277,0.638,0.583,0.292,66.7,0,2,0,1,0.1085
278,1.12,0.581,0.278,68.7,0,2,1,2,0.1809
279,0.532,0.422,0.715,74.7,0,2,1,3,0.1607
280,1.022,0.705,0.31,95.3,0,1,0,4,0.2233
281,0.508,0.737,0.643,92.6,0,1,1,1,0.2407
282,1.169,0.714,0.583,120.0,0,1,0,1,0.486
283,0.824,0.783,0.364,116.1,0,1,1,5,0.2348
284,0.435,0.598,0.393,49.5,0,3,1,5,0.1021
285,1.145,0.854,0.657,120.0,0,1,0,4,0.6423
286,0.687,0.671,0.262,78.8,1,2,1,1,0.1207
287,0.985,0.873,0.776,120.0,0,1,1,4,0.6672
288,0.819,0.567,0.275,62.5,0,2,1,3,0.1275
289,0.474,0.755,0.339,71.3,0,2,1,5,0.1213
290,0.485,0.428,0.602,62.6,0,2,1,4,0.1249
291,0.519,0.354,0.313,45.1,0,3,1,2,0.0575
292,0.529,0.905,0.799,120.0,0,1,1,4,0.3826
293,0.442,0.541,0.488,56.1,0,3,1,2,0.1168
294,0.438,0.33,0.288,42.7,0,3,1,4,0.0415
295,1.159,0.702,0.341,119.8,0,1,1,2,0.2772
296,0.473,0.907,0.548,108.1,1,1,1,4,0.2351
297,0.807,0.8,0.729,120.0,0,1,1,1,0.4702
298,0.495,0.942,0.391,94.9,0,1,1,1,0.1824
299,0.572,0.908,0.47,95.6,0,1,1,1,0.2438
300,1.01,0.596,0.563,120.0,0,1,1,1,0.3391
301,1.151,0.452,0.608,120.0,0,1,0,5,0.3161
302,0.776,0.342,0.648,65.5,0,2,1,5,0.1721
303,0.405,0.477,0.429,61.8,1,2,1,2,0.0827
304,1.199,0.711,0.454,120.0,0,1,1,2,0.387
305,0.438,0.892,0.73,107.7,1,1,1,1,0.2856
306,0.712,0.301,0.748,90.8,0,1,1,3,0.1603
307,0.831,0.831,0.48,120.0,0,1,1,1,0.3314
308,1.113,0.797,0.798,120.0,0,1,1,3,0.7081
309,1.058,0.749,0.346,120.0,1,1,1,2,0.2746
310,0.888,0.383,0.703,106.3,0,1,1,4,0.239
311,0.719,0.335,0.75,95.8,0,1,1,1,0.1804
312,1.068,0.779,0.561,120.0,0,1,1,4,0.4661
313,1.095,0.717,0.631,120.0,0,1,1,5,0.4951
314,1.098,0.54,0.283,76.2,0,2,0,2,0.1679
315,0.974,0.525,0.713,120.0,0,1,0,2,0.3646
316,0.478,0.321,0.626,71.7,0,2,1,1,0.0961
317,0.639,0.946,0.568,120.0,0,1,0,2,0.3433
318,0.789,0.844,0.57,120.0,0,1,1,2,0.3791
319,0.804,0.933,0.338,107.0,0,1,1,5,0.2536
320,1.066,0.832,0.716,120.0,0,1,1,1,0.635
321,0.59,0.598,0.541,80.0,0,2,1,3,0.1911
322,0.932,0.849,0.584,120.0,1,1,1,2,0.4624
323,0.699,0.429,0.344,66.7,1,2,1,4,0.1031
324,1.02,0.737,0.595,120.0,0,1,1,4,0.4479
325,0.557,0.454,0.381,59.6,0,3,1,5,0.0963
326,0.781,0.555,0.669,120.0,0,1,1,1,0.2903
327,0.483,0.867,0.265,56.8,0,3,1,2,0.111
328,0.57,0.576,0.318,51.5,0,3,1,2,0.1045
329,1.148,0.881,0.366,120.0,0,1,1,1,0.3703
330,0.653,0.69,0.471,95.3,1,1,1,3,0.2119
331,1.114,0.491,0.729,120.0,0,1,1,2,0.3988
332,0.819,0.469,0.254,70.5,0,2,1,5,0.0976
333,0.431,0.302,0.556,60.4,0,2,1,2,0.0724
334,1.034,0.672,0.27,94.9,0,1,1,3,0.1875
335,0.442,0.845,0.459,83.4,0,2,1,2,0.1712
336,1.062,0.446,0.414,79.7,0,2,0,5,0.196
337,0.407,0.612,0.34,67.2,0,2,1,2,0.0847
338,0.939,0.94,0.514,120.0,0,1,1,5,0.4533
339,0.533,0.556,0.438,68.8,0,2,1,2,0.1296
340,0.674,0.91,0.394,116.0,0,1,0,2,0.2418
341,1.162,0.837,0.586,120.0,1,1,1,3,0.5706
342,0.789,0.621,0.384,81.6,0,2,1,2,0.1885
343,0.926,0.713,0.785,120.0,0,1,1,3,0.518
344,0.993,0.343,0.387,84.7,0,2,1,4,0.1317
345,0.488,0.636,0.794,99.0,0,1,1,3,0.2462
346,1.071,0.794,0.339,111.1,1,1,0,5,0.2881
347,1.131,0.45,0.772,120.0,0,1,1,4,0.393
348,0.524,0.333,0.285,53.1,1,3,0,5,0.0497
349,0.837,0.319,0.254,30.3,1,3,1,4,0.0679
350,0.627,0.404,0.304,52.2,0,3,1,4,0.0769
351,0.993,0.455,0.639,120.0,0,1,1,5,0.2883
352,0.423,0.824,0.378,76.1,1,2,1,4,0.1315
353,0.81,0.598,0.402,94.7,0,1,1,4,0.1947
354,1.034,0.648,0.62,120.0,0,1,1,3,0.4158
355,0.988,0.504,0.266,72.6,0,2,1,2,0.1324
356,0.487,0.494,0.547,72.7,1,2,0,5,0.1316
357,1.066,0.66,0.47,120.0,0,1,1,3,0.3308
358,0.59,0.785,0.339,66.0,1,2,1,3,0.1569
359,1.046,0.417,0.751,120.0,0,1,1,2,0.3282
360,0.798,0.583,0.448,110.4,0,1,1,3,0.2083
361,0.529,0.719,0.41,75.9,0,2,1,2,0.1559
362,0.987,0.924,0.632,120.0,0,1,1,4,0.5765
363,1.046,0.475,0.721,120.0,0,1,1,1,0.3582
364,0.959,0.555,0.375,78.5,0,2,1,3,0.2
365,1.172,0.67,0.32,99.7,0,1,1,5,0.2512
366,0.605,0.392,0.778,79.5,0,2,1,1,0.1846
367,0.589,0.698,0.485,106.9,0,1,1,4,0.1992
368,0.518,0.933,0.544,120.0,0,1,0,3,0.263
369,0.832,0.478,0.501,79.3,0,2,0,5,0.1991
370,0.72,0.612,0.705,116.3,1,1,0,3,0.3108
371,0.685,0.376,0.486,54.8,0,3,1,4,0.1254
372,0.768,0.637,0.666,120.0,0,1,1,4,0.326
373,0.62,0.932,0.538,120.0,0,1,1,1,0.3103
374,0.403,0.653,0.294,62.5,0,2,1,1,0.0773
375,0.777,0.439,0.53,97.9,0,1,1,4,0.1808
376,0.621,0.502,0.721,117.4,0,1,1,2,0.2245
377,0.76,0.707,0.542,120.0,0,1,1,1,0.2913
378,1.143,0.857,0.466,120.0,0,1,0,5,0.4566
379,0.543,0.595,0.264,52.9,0,3,1,3,0.0853
380,0.91,0.619,0.636,120.0,0,1,1,1,0.3578
381,0.916,0.826,0.466,120.0,0,1,1,1,0.3524
382,0.625,0.368,0.428,53.4,0,3,1,3,0.0985
383,0.777,0.918,0.453,120.0,0,1,1,5,0.3234
384,1.176,0.602,0.48,120.0,0,1,1,5,0.3396
385,0.674,0.516,0.435,71.8,0,2,1,5,0.151
386,0.97,0.806,0.41,120.0,0,1,1,4,0.3209
387,1.072,0.467,0.503,102.9,0,1,1,3,0.2518
388,0.689,0.395,0.276,48.1,0,3,1,3,0.075
389,1.192,0.468,0.374,86.4,0,2,1,5,0.2086
390,0.901,0.737,0.491,120.0,0,1,1,1,0.326
391,0.801,0.365,0.737,103.8,0,1,1,4,0.2156
392,0.972,0.593,0.485,120.0,1,1,1,2,0.28
393,0.739,0.453,0.556,96.3,0,1,0,2,0.1861
394,0.97,0.655,0.741,120.0,0,1,1,5,0.4708
395,0.62,0.39,0.693,70.0,0,2,1,1,0.1675
396,1.142,0.803,0.642,120.0,0,1,0,1,0.5885
397,0.834,0.901,0.591,120.0,0,1,1,4,0.4434
398,0.593,0.508,0.578,88.1,0,2,1,4,0.174
399,0.75,0.53,0.355,58.1,0,3,1,4,0.1411
400,1.116,0.689,0.324,109.8,0,1,1,5,0.2493
401,1.046,0.78,0.281,111.9,0,1,1,2,0.2289
402,0.788,0.338,0.302,61.3,0,2,1,3,0.0803
403,0.681,0.739,0.588,120.0,0,1,1,5,0.296
404,0.701,0.829,0.585,120.0,0,1,1,1,0.3399
405,1.185,0.815,0.271,113.3,0,1,1,5,0.2613
406,0.49,0.585,0.711,99.7,0,1,1,2,0.2038
407,1.111,0.835,0.493,120.0,0,1,0,4,0.4572
408,1.086,0.656,0.546,120.0,0,1,1,1,0.3889
409,0.58,0.421,0.29,47.8,0,3,1,4,0.0709
410,0.679,0.486,0.722,95.9,0,1,1,3,0.2383
411,0.856,0.685,0.294,74.2,0,2,1,4,0.1724
412,1.042,0.659,0.366,117.8,0,1,1,4,0.2514
413,1.16,0.821,0.506,120.0,0,1,1,2,0.4821
414,1.193,0.765,0.524,120.0,0,1,1,4,0.4779
415,0.625,0.438,0.543,70.3,0,2,1,3,0.1489
416,0.554,0.558,0.765,114.4,0,1,1,2,0.2365
417,0.79,0.806,0.269,71.7,0,2,1,3,0.1714
418,0.846,0.598,0.622,117.9,1,1,1,1,0.3145
419,0.925,0.446,0.486,81.7,1,2,1,3,0.2009
420,0.486,0.909,0.697,120.0,0,1,1,1,0.3079
421,0.917,0.592,0.617,120.0,0,1,1,5,0.335
422,1.137,0.501,0.697,120.0,0,1,1,2,0.3968
423,1.132,0.632,0.725,120.0,1,1,1,5,0.519
424,1.155,0.496,0.679,120.0,0,1,1,5,0.3888
425,1.138,0.476,0.323,78.3,0,2,1,3,0.1747
426,1.169,0.73,0.545,120.0,0,1,1,1,0.4653
427,0.439,0.817,0.675,91.9,0,1,1,4,0.2422
428,1.133,0.566,0.676,120.0,0,1,1,5,0.4332
429,0.617,0.405,0.76,86.0,0,2,1,2,0.1897
430,0.657,0.609,0.479,77.0,1,2,1,1,0.1915
431,0.767,0.561,0.255,61.8,0,2,1,5,0.1097
432,1.164,0.583,0.65,120.0,0,1,1,4,0.4413
433,0.884,0.456,0.403,64.1,1,2,1,2,0.1624
434,0.682,0.8,0.611,120.0,0,1,0,2,0.3333
435,0.699,0.431,0.277,45.7,0,3,1,4,0.0836
436,1.124,0.325,0.445,85.1,0,2,1,1,0.1628
437,1.058,0.755,0.598,120.0,0,1,1,5,0.4779
438,0.51,0.783,0.319,66.6,0,2,1,4,0.1275
439,0.599,0.455,0.424,47.1,0,3,1,2,0.1157
440,0.698,0.413,0.33,59.5,0,3,1,3,0.0949
441,0.573,0.677,0.74,120.0,0,1,1,4,0.2874
442,0.851,0.898,0.676,120.0,0,1,0,4,0.5162
443,0.579,0.465,0.601,73.8,0,2,1,1,0.1619
444,0.86,0.651,0.536,110.6,1,1,1,3,0.3
445,1.149,0.472,0.788,120.0,0,1,1,4,0.427
446,1.079,0.782,0.392,120.0,0,1,0,4,0.331
447,0.479,0.604,0.638,102.6,0,1,1,5,0.1846
448,0.566,0.546,0.297,51.4,0,3,1,5,0.0919
449,0.73,0.726,0.592,120.0,1,1,0,2,0.314
450,0.917,0.645,0.357,90.5,0,1,1,3,0.2115
